"Function","ControlRef","Status","Check","Severity","Evidence","Recommendation"
"Test-ASREDefenderService","Audit collection error","ERROR","Test-ASREDefenderService","High","Cannot find any service with service name 'WinDefend'.","Investigate the collection error before treating the check as complete."
"Test-ASREDefenderSignatures","Audit collection error","ERROR","Test-ASREDefenderSignatures","High","The term 'Get-MpComputerStatus' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","Investigate the collection error before treating the check as complete."
"Test-ASREDefenderTamperProtection","Audit collection error","ERROR","Test-ASREDefenderTamperProtection","High","The term 'Get-MpComputerStatus' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","Investigate the collection error before treating the check as complete."
"Test-ASREDnsServers","ISO/IEC 27001:2022-aligned network security","INFO","Configured DNS servers","Medium","Ethernet:8.8.8.8,1.1.1.1","Validate DNS server addresses against approved enterprise or trusted resolver configuration."
"Test-ASREEvidenceManifest","ISO/IEC 27001:2022-aligned documented information","INFO","Evidence directory manifest","Info","EvidenceFiles=3; .gitkeep=0 bytes; audit-policy.txt=3570 bytes; security-policy.inf=12970 bytes","Keep collected evidence separated from source code and document what each file supports."
"Test-ASREFailedLogons","Audit collection error","ERROR","Test-ASREFailedLogons","High","No events were found that match the specified selection criteria.","Investigate the collection error before treating the check as complete."
"Test-ASREFirewallProfiles","ISO/IEC 27001:2022-aligned network security","WARN","Windows Firewall profiles","High","Domain:Enabled=False;Inbound=NotConfigured;Outbound=NotConfigured; Private:Enabled=False;Inbound=NotConfigured;Outbound=NotConfigured; Public:Enabled=False;Inbound=NotConfigured;Outbound=NotConfigured","Keep active firewall profiles enabled and review default inbound policy."
"Test-ASREGuestAccount","ISO/IEC 27001:2022-aligned access control","PASS","Guest account","Medium","Guest Enabled=False","Disable the built-in Guest account unless an approved business requirement exists."
"Test-ASREInboundAllowRules","ISO/IEC 27001:2022-aligned network security","INFO","Enabled inbound allow rules","Medium","EnabledInboundAllowRuleCount=93","Review enabled inbound exceptions for business necessity and least privilege."
"Test-ASREInstalledUpdates","ISO/IEC 27001:2022-aligned technical vulnerability management","INFO","Installed Windows updates","Info","UpdateCount=5; Latest=KB5014032=01/07/2023 00:00:00; KB5020372=01/07/2023 00:00:00; KB5022282=01/07/2023 00:00:00; KB5020872=01/07/2023 00:00:00; KB5015684=01/07/2023 00:00:00","Review update recency against the organisation patching policy; this check reports inventory rather than declaring compliance."
"Test-ASREInventorySnapshot","ISO/IEC 27001:2022-aligned asset inventory","PASS","Asset inventory snapshot","Info","Manufacturer=innotek GmbH; Model=VirtualBox; BIOS=VirtualBox; OS=Microsoft Windows 10 Home; Build=19045","Store the endpoint inventory snapshot with the assessment timestamp and asset identifier."
"Test-ASREIPConfiguration","ISO/IEC 27001:2022-aligned asset and network evidence","INFO","IP configuration","Info","Ethernet:IPv4=10.0.2.15; Gateway=10.0.2.2","Record network configuration as audit evidence and investigate unexpected interfaces or addresses."
"Test-ASREListeningTcpPorts","ISO/IEC 27001:2022-aligned network security","INFO","Listening TCP ports","High","UniqueListeningPorts=11; Ports=135, 139, 445, 7680, 49664, 49665, 49666, 49667, 49668, 49674, 49675","Review listening services against the approved endpoint baseline and disable unnecessary exposure."
"Test-ASRELocalUsers","ISO/IEC 27001:2022-aligned identity lifecycle","INFO","Local user inventory","Info","EnabledUsers=2; Administrator:Enabled=True; DefaultAccount:Enabled=False; Guest:Enabled=False; LiteOS:Enabled=True; WDAGUtilityAccount:Enabled=False","Review local accounts and remove or disable accounts that are no longer justified."
"Test-ASRELockoutPolicy","ISO/IEC 27001:2022-aligned access control","INFO","Account lockout policy","Info","Lockout threshold:                                    10; Lockout duration (minutes):                           10; Lockout observation window (minutes):                 10","Review lockout settings against the organisation risk appetite and authentication policy."
"Test-ASRENetworkProfiles","ISO/IEC 27001:2022-aligned network security","INFO","Network profile baseline","Medium","Ethernet:Category=Public; IPv4=Internet; IPv6=NoTraffic","Confirm network categorisation is appropriate for trusted and untrusted environments."
"Test-ASREOperatingSystemBaseline","ISO/IEC 27001:2022-aligned configuration management","PASS","Windows operating system baseline","Medium","Caption=Microsoft Windows 10 Home; Version=10.0.19045; Build=19045; Architecture=64-bit","Confirm the endpoint OS and architecture are supported and within the organisation baseline."
"Test-ASREPasswordPolicy","ISO/IEC 27001:2022-aligned authentication information","INFO","Local password policy","Info","Minimum password age (days):                          0; Maximum password age (days):                          42; Minimum password length:                              0; Length of password history maintained:                None","Review the local password and account policy against the organisation baseline; localisation may change command output labels."
"Test-ASREPowerUsersGroup","ISO/IEC 27001:2022-aligned least privilege","INFO","Power Users membership","Low","MemberCount=0; ","Confirm the legacy Power Users group is required and appropriately governed."
"Test-ASREPrivilegedLocalGroups","ISO/IEC 27001:2022-aligned access rights management","INFO","Privileged local group inventory","Info","Administrators=2; Remote Desktop Users=0; Backup Operators=0; Power Users=0; Network Configuration Operators=0","Retain a documented privileged-group review record."
"Test-ASREProcessCreationEvents","ISO/IEC 27001:2022-aligned logging and monitoring","INFO","Process creation auditing, last 7 days","Medium","Event4688Count=55","Confirm process creation auditing is enabled where required and use the data for investigation and detection engineering."
"Test-ASREPublicFirewallProfile","ISO/IEC 27001:2022-aligned network security","WARN","Public firewall profile","High","Enabled=False; DefaultInbound=NotConfigured; DefaultOutbound=NotConfigured","For untrusted networks, maintain firewall protection and a restrictive inbound baseline."
"Test-ASRERemoteDesktopFirewallRules","ISO/IEC 27001:2022-aligned remote access security","INFO","Enabled inbound Remote Desktop rules","Medium","RuleCount=0","Confirm RDP exposure is required, restricted and monitored."
"Test-ASRERemoteDesktopGroup","ISO/IEC 27001:2022-aligned access control","INFO","Remote Desktop Users membership","Medium","MemberCount=0; ","Validate whether each remote-access user has a documented business requirement."
"Test-ASRERemoteRegistryService","ISO/IEC 27001:2022-aligned secure configuration","PASS","Remote Registry service","Medium","Present=True; Status=Stopped;StartType=Disabled","Disable the legacy Remote Registry service where it is not required by an approved operational dependency."
"Test-ASRERTPStatus","Audit collection error","ERROR","Test-ASRERTPStatus","High","The term 'Get-MpComputerStatus' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","Investigate the collection error before treating the check as complete."
"Test-ASREScreenLockConfiguration","ISO/IEC 27001:2022-aligned secure configuration","WARN","User screen-lock configuration","Medium","ScreenSaveActive=1; ScreenSaverIsSecure=; TimeoutSeconds=","Apply an enforced inactivity lock baseline appropriate to the organisation and avoid relying solely on per-user settings."
"Test-ASRESecureBoot","ISO/IEC 27001:2022-aligned secure configuration","INFO","Secure Boot","Info","Secure Boot state could not be queried: Cmdlet not supported on this platform: 0xC0000002","Record whether the device uses UEFI/Secure Boot and assess through firmware or hardware-management evidence."
"Test-ASRESecurityLogHealth","ISO/IEC 27001:2022-aligned logging and monitoring","PASS","Security log health","High","Enabled=True; RecordCount=3033; MaxSizeBytes=20971520","Ensure the Security log is enabled, appropriately sized and retained according to policy."
"Test-ASRESecurityPolicyExport","ISO/IEC 27001:2022-aligned documented evidence","PASS","Local security policy export","High","ExitCode=0; EvidenceFile=C:\Users\Administrator\Desktop\windows-security-audit-powershell-v2\Evidence\security-policy.inf; Exists=True","Retain the exported local security-policy evidence inside the audit artefact set and protect it from unauthorised modification."
"Test-ASRESmbClientConfiguration","ISO/IEC 27001:2022-aligned network security","WARN","SMB client security configuration","High","EnableSecuritySignature=True; RequireSecuritySignature=False; EnableInsecureGuestLogons=True","Prefer SMB signing and avoid insecure guest logons where compatible with the environment."
"Test-ASRESmbFirewallRules","ISO/IEC 27001:2022-aligned network security","INFO","Enabled inbound file-sharing rules","Medium","RuleCount=0","Review SMB/file-sharing exposure and limit it to approved network profiles and business needs."
"Test-ASRESMBv1","ISO/IEC 27001:2022-aligned secure configuration","WARN","SMBv1 Windows optional feature","High","State=Enabled","Keep SMBv1 disabled unless an approved legacy dependency exists and compensating controls are documented."
"Test-ASRESuccessfulLogons","ISO/IEC 27001:2022-aligned monitoring","INFO","Successful logon activity, last 7 days","Info","Event4624Count=215; WindowStart=09/05/2026 09:47:40","Use successful-logon volume for baseline and correlation with identity activity."
"Test-ASRESystemIdentity","ISO/IEC 27001:2022-aligned asset and configuration evidence","INFO","System identity","Info","Computer=DESKTOP-CGQH04K; OS=Microsoft Windows 10 Home; Build=19045; Architecture=64-bit; Domain=WORKGROUP","Record the endpoint identity and baseline before assessment."
"Test-ASRESystemUptime","Audit collection error","ERROR","Test-ASRESystemUptime","High","Exception calling ""ToDateTime"" with ""1"" argument(s): ""Specified argument was out of the range of valid values.
Parameter name: dmtfDate""","Investigate the collection error before treating the check as complete."
"Test-ASRETimeConfiguration","ISO/IEC 27001:2022-aligned event logging and monitoring","WARN","Windows Time service","Low","Windows Time service=Stopped","Maintain time synchronisation because reliable timestamps support authentication and event correlation."
"Test-ASREUACConfiguration","ISO/IEC 27001:2022-aligned secure configuration","PASS","User Account Control","High","EnableLUA=1; ConsentPromptBehaviorAdmin=0","Maintain UAC and review administrative elevation behaviour against the endpoint baseline."
"Test-ASREUnquotedServicePaths","ISO/IEC 27001:2022-aligned secure configuration","PASS","Potential unquoted service paths","Medium","CandidateCount=0; ","Review flagged service executable paths and quote paths containing spaces where required by the actual executable structure."
"Test-ASREWinRMService","ISO/IEC 27001:2022-aligned remote administration","PASS","Windows Remote Management service","Medium","Present=True; Status=Stopped;StartType=Manual","Restrict remote administration services to approved administrative workflows and network paths."
